domain,category,size_tier,date,metric,value
drpepper.com,beverages,large,2024-12-01,keywords_count,13122.0
drpepper.com,beverages,large,2025-01-01,keywords_count,14575.0
drpepper.com,beverages,large,2025-02-01,keywords_count,14810.0
drpepper.com,beverages,large,2025-03-01,keywords_count,15027.0
drpepper.com,beverages,large,2025-04-01,keywords_count,19220.0
drpepper.com,beverages,large,2025-05-01,keywords_count,19162.0
drpepper.com,beverages,large,2025-06-01,keywords_count,14283.0
drpepper.com,beverages,large,2025-07-01,keywords_count,13031.0
drpepper.com,beverages,large,2025-08-01,keywords_count,13829.0
drpepper.com,beverages,large,2025-09-01,keywords_count,13777.0
drpepper.com,beverages,large,2025-10-01,keywords_count,13902.0
drpepper.com,beverages,large,2025-11-01,keywords_count,13878.0
drpepper.com,beverages,large,2025-12-01,keywords_count,14853.0
drpepper.com,beverages,large,2026-01-01,keywords_count,12703.0
drpepper.com,beverages,large,2026-02-01,keywords_count,13746.0
pepsi.com,beverages,large,2023-01-01,keywords_count,45701.0
pepsi.com,beverages,large,2023-02-01,keywords_count,49544.0
pepsi.com,beverages,large,2023-03-01,keywords_count,51183.0
pepsi.com,beverages,large,2023-04-01,keywords_count,48544.0
pepsi.com,beverages,large,2023-05-01,keywords_count,41569.0
pepsi.com,beverages,large,2023-06-01,keywords_count,42597.0
pepsi.com,beverages,large,2023-07-01,keywords_count,36980.0
pepsi.com,beverages,large,2023-08-01,keywords_count,38970.0
pepsi.com,beverages,large,2023-09-01,keywords_count,44158.0
pepsi.com,beverages,large,2023-10-01,keywords_count,47933.0
pepsi.com,beverages,large,2023-11-01,keywords_count,51456.0
pepsi.com,beverages,large,2023-12-01,keywords_count,52766.0
pepsi.com,beverages,large,2024-01-01,keywords_count,48553.0
pepsi.com,beverages,large,2024-02-01,keywords_count,43705.0
pepsi.com,beverages,large,2024-03-01,keywords_count,40213.0
pepsi.com,beverages,large,2024-04-01,keywords_count,30747.0
pepsi.com,beverages,large,2024-05-01,keywords_count,26511.0
pepsi.com,beverages,large,2024-06-01,keywords_count,22533.0
pepsi.com,beverages,large,2024-07-01,keywords_count,19772.0
pepsi.com,beverages,large,2024-08-01,keywords_count,17135.0
pepsi.com,beverages,large,2024-09-01,keywords_count,15624.0
pepsi.com,beverages,large,2024-10-01,keywords_count,15172.0
pepsi.com,beverages,large,2024-11-01,keywords_count,13814.0
pepsi.com,beverages,large,2024-12-01,keywords_count,12047.0
pepsi.com,beverages,large,2025-01-01,keywords_count,12366.0
pepsi.com,beverages,large,2025-02-01,keywords_count,12496.0
pepsi.com,beverages,large,2025-03-01,keywords_count,13171.0
pepsi.com,beverages,large,2025-04-01,keywords_count,14957.0
pepsi.com,beverages,large,2025-05-01,keywords_count,14968.0
pepsi.com,beverages,large,2025-06-01,keywords_count,24745.0
pepsi.com,beverages,large,2025-07-01,keywords_count,12004.0
pepsi.com,beverages,large,2025-08-01,keywords_count,8358.0
pepsi.com,beverages,large,2025-09-01,keywords_count,19053.0
pepsi.com,beverages,large,2025-10-01,keywords_count,8454.0
pepsi.com,beverages,large,2025-11-01,keywords_count,8468.0
pepsi.com,beverages,large,2025-12-01,keywords_count,15006.0
pepsi.com,beverages,large,2026-01-01,keywords_count,18160.0
pepsi.com,beverages,large,2026-02-01,keywords_count,21885.0
fiveguys.com,fast_food,small,2023-01-01,keywords_count,131531.0
fiveguys.com,fast_food,small,2023-02-01,keywords_count,135300.0
fiveguys.com,fast_food,small,2023-03-01,keywords_count,130458.0
fiveguys.com,fast_food,small,2023-04-01,keywords_count,127291.0
fiveguys.com,fast_food,small,2023-05-01,keywords_count,129708.0
fiveguys.com,fast_food,small,2023-06-01,keywords_count,133275.0
fiveguys.com,fast_food,small,2023-07-01,keywords_count,140729.0
fiveguys.com,fast_food,small,2023-08-01,keywords_count,145578.0
fiveguys.com,fast_food,small,2023-09-01,keywords_count,167456.0
fiveguys.com,fast_food,small,2023-10-01,keywords_count,164853.0
fiveguys.com,fast_food,small,2023-11-01,keywords_count,160918.0
fiveguys.com,fast_food,small,2023-12-01,keywords_count,172956.0
fiveguys.com,fast_food,small,2024-01-01,keywords_count,164539.0
fiveguys.com,fast_food,small,2024-02-01,keywords_count,163391.0
fiveguys.com,fast_food,small,2024-03-01,keywords_count,151747.0
fiveguys.com,fast_food,small,2024-04-01,keywords_count,146730.0
fiveguys.com,fast_food,small,2024-05-01,keywords_count,143955.0
fiveguys.com,fast_food,small,2024-06-01,keywords_count,148432.0
fiveguys.com,fast_food,small,2024-07-01,keywords_count,152429.0
fiveguys.com,fast_food,small,2024-08-01,keywords_count,156272.0
fiveguys.com,fast_food,small,2024-09-01,keywords_count,160677.0
fiveguys.com,fast_food,small,2024-10-01,keywords_count,164470.0
fiveguys.com,fast_food,small,2024-11-01,keywords_count,159305.0
fiveguys.com,fast_food,small,2024-12-01,keywords_count,154432.0
fiveguys.com,fast_food,small,2025-01-01,keywords_count,160081.0
fiveguys.com,fast_food,small,2025-02-01,keywords_count,165262.0
fiveguys.com,fast_food,small,2025-03-01,keywords_count,169950.0
fiveguys.com,fast_food,small,2025-04-01,keywords_count,180100.0
fiveguys.com,fast_food,small,2025-05-01,keywords_count,179817.0
fiveguys.com,fast_food,small,2025-06-01,keywords_count,198447.0
fiveguys.com,fast_food,small,2025-07-01,keywords_count,173254.0
fiveguys.com,fast_food,small,2025-08-01,keywords_count,97554.0
fiveguys.com,fast_food,small,2025-09-01,keywords_count,160501.0
fiveguys.com,fast_food,small,2025-10-01,keywords_count,99118.0
fiveguys.com,fast_food,small,2025-11-01,keywords_count,99523.0
fiveguys.com,fast_food,small,2025-12-01,keywords_count,149236.0
fiveguys.com,fast_food,small,2026-01-01,keywords_count,172610.0
fiveguys.com,fast_food,small,2026-02-01,keywords_count,170029.0
mcdonalds.com,fast_food,large,2023-01-01,keywords_count,961963.0
mcdonalds.com,fast_food,large,2023-02-01,keywords_count,889905.0
mcdonalds.com,fast_food,large,2023-03-01,keywords_count,938500.0
mcdonalds.com,fast_food,large,2023-04-01,keywords_count,928058.0
mcdonalds.com,fast_food,large,2023-05-01,keywords_count,914582.0
mcdonalds.com,fast_food,large,2023-06-01,keywords_count,911505.0
mcdonalds.com,fast_food,large,2023-07-01,keywords_count,937049.0
mcdonalds.com,fast_food,large,2023-08-01,keywords_count,971649.0
mcdonalds.com,fast_food,large,2023-09-01,keywords_count,1085132.0
mcdonalds.com,fast_food,large,2023-10-01,keywords_count,1064430.0
mcdonalds.com,fast_food,large,2023-11-01,keywords_count,1098942.0
mcdonalds.com,fast_food,large,2023-12-01,keywords_count,1027781.0
mcdonalds.com,fast_food,large,2024-01-01,keywords_count,955421.0
mcdonalds.com,fast_food,large,2024-02-01,keywords_count,886801.0
mcdonalds.com,fast_food,large,2024-03-01,keywords_count,831443.0
mcdonalds.com,fast_food,large,2024-04-01,keywords_count,824791.0
mcdonalds.com,fast_food,large,2024-05-01,keywords_count,848435.0
mcdonalds.com,fast_food,large,2024-06-01,keywords_count,873260.0
mcdonalds.com,fast_food,large,2024-07-01,keywords_count,869496.0
mcdonalds.com,fast_food,large,2024-08-01,keywords_count,944189.0
mcdonalds.com,fast_food,large,2024-09-01,keywords_count,980172.0
mcdonalds.com,fast_food,large,2024-10-01,keywords_count,943407.0
mcdonalds.com,fast_food,large,2024-11-01,keywords_count,925266.0
mcdonalds.com,fast_food,large,2024-12-01,keywords_count,900165.0
mcdonalds.com,fast_food,large,2025-01-01,keywords_count,944982.0
mcdonalds.com,fast_food,large,2025-02-01,keywords_count,956406.0
mcdonalds.com,fast_food,large,2025-03-01,keywords_count,996553.0
mcdonalds.com,fast_food,large,2025-04-01,keywords_count,1147775.0
mcdonalds.com,fast_food,large,2025-05-01,keywords_count,1147521.0
mcdonalds.com,fast_food,large,2025-06-01,keywords_count,990521.0
mcdonalds.com,fast_food,large,2025-07-01,keywords_count,893794.0
mcdonalds.com,fast_food,large,2025-08-01,keywords_count,878153.0
mcdonalds.com,fast_food,large,2025-09-01,keywords_count,841132.0
mcdonalds.com,fast_food,large,2025-10-01,keywords_count,878940.0
mcdonalds.com,fast_food,large,2025-11-01,keywords_count,878920.0
mcdonalds.com,fast_food,large,2025-12-01,keywords_count,859401.0
mcdonalds.com,fast_food,large,2026-01-01,keywords_count,908276.0
mcdonalds.com,fast_food,large,2026-02-01,keywords_count,914858.0
shakeshack.com,fast_food,small,2023-01-01,keywords_count,322886.0
shakeshack.com,fast_food,small,2023-02-01,keywords_count,325740.0
shakeshack.com,fast_food,small,2023-03-01,keywords_count,319051.0
shakeshack.com,fast_food,small,2023-04-01,keywords_count,309481.0
shakeshack.com,fast_food,small,2023-05-01,keywords_count,304920.0
shakeshack.com,fast_food,small,2023-06-01,keywords_count,313499.0
shakeshack.com,fast_food,small,2023-07-01,keywords_count,336699.0
shakeshack.com,fast_food,small,2023-08-01,keywords_count,347767.0
shakeshack.com,fast_food,small,2023-09-01,keywords_count,367621.0
shakeshack.com,fast_food,small,2023-10-01,keywords_count,381731.0
shakeshack.com,fast_food,small,2023-11-01,keywords_count,383321.0
shakeshack.com,fast_food,small,2023-12-01,keywords_count,402820.0
shakeshack.com,fast_food,small,2024-01-01,keywords_count,380086.0
shakeshack.com,fast_food,small,2024-02-01,keywords_count,381977.0
shakeshack.com,fast_food,small,2024-03-01,keywords_count,336738.0
shakeshack.com,fast_food,small,2024-04-01,keywords_count,321887.0
shakeshack.com,fast_food,small,2024-05-01,keywords_count,335995.0
shakeshack.com,fast_food,small,2024-06-01,keywords_count,347117.0
shakeshack.com,fast_food,small,2024-07-01,keywords_count,355570.0
shakeshack.com,fast_food,small,2024-08-01,keywords_count,376763.0
shakeshack.com,fast_food,small,2024-09-01,keywords_count,371608.0
shakeshack.com,fast_food,small,2024-10-01,keywords_count,357931.0
shakeshack.com,fast_food,small,2024-11-01,keywords_count,341453.0
shakeshack.com,fast_food,small,2024-12-01,keywords_count,347569.0
shakeshack.com,fast_food,small,2025-01-01,keywords_count,445867.0
shakeshack.com,fast_food,small,2025-02-01,keywords_count,452468.0
shakeshack.com,fast_food,small,2025-03-01,keywords_count,520165.0
shakeshack.com,fast_food,small,2025-04-01,keywords_count,589368.0
shakeshack.com,fast_food,small,2025-05-01,keywords_count,592264.0
shakeshack.com,fast_food,small,2025-06-01,keywords_count,828774.0
shakeshack.com,fast_food,small,2025-07-01,keywords_count,750655.0
shakeshack.com,fast_food,small,2025-08-01,keywords_count,928736.0
shakeshack.com,fast_food,small,2025-09-01,keywords_count,882092.0
shakeshack.com,fast_food,small,2025-10-01,keywords_count,928128.0
shakeshack.com,fast_food,small,2025-11-01,keywords_count,928963.0
shakeshack.com,fast_food,small,2025-12-01,keywords_count,919452.0
shakeshack.com,fast_food,small,2026-01-01,keywords_count,925228.0
shakeshack.com,fast_food,small,2026-02-01,keywords_count,922854.0
wendys.com,fast_food,large,2023-01-01,keywords_count,285278.0
wendys.com,fast_food,large,2023-02-01,keywords_count,280370.0
wendys.com,fast_food,large,2023-03-01,keywords_count,271429.0
wendys.com,fast_food,large,2023-04-01,keywords_count,270864.0
wendys.com,fast_food,large,2023-05-01,keywords_count,296331.0
wendys.com,fast_food,large,2023-06-01,keywords_count,312320.0
wendys.com,fast_food,large,2023-07-01,keywords_count,344910.0
wendys.com,fast_food,large,2023-08-01,keywords_count,358777.0
wendys.com,fast_food,large,2023-09-01,keywords_count,401662.0
wendys.com,fast_food,large,2023-10-01,keywords_count,376626.0
wendys.com,fast_food,large,2023-11-01,keywords_count,419552.0
wendys.com,fast_food,large,2023-12-01,keywords_count,407884.0
wendys.com,fast_food,large,2024-01-01,keywords_count,385605.0
wendys.com,fast_food,large,2024-02-01,keywords_count,349018.0
wendys.com,fast_food,large,2024-03-01,keywords_count,322404.0
wendys.com,fast_food,large,2024-04-01,keywords_count,311817.0
wendys.com,fast_food,large,2024-05-01,keywords_count,305574.0
wendys.com,fast_food,large,2024-06-01,keywords_count,299737.0
wendys.com,fast_food,large,2024-07-01,keywords_count,296342.0
wendys.com,fast_food,large,2024-08-01,keywords_count,295534.0
wendys.com,fast_food,large,2024-09-01,keywords_count,287959.0
wendys.com,fast_food,large,2024-10-01,keywords_count,273736.0
wendys.com,fast_food,large,2024-11-01,keywords_count,264626.0
wendys.com,fast_food,large,2024-12-01,keywords_count,267483.0
wendys.com,fast_food,large,2025-01-01,keywords_count,311901.0
wendys.com,fast_food,large,2025-02-01,keywords_count,314857.0
wendys.com,fast_food,large,2025-03-01,keywords_count,311637.0
wendys.com,fast_food,large,2025-04-01,keywords_count,298223.0
wendys.com,fast_food,large,2025-05-01,keywords_count,297862.0
wendys.com,fast_food,large,2025-06-01,keywords_count,259614.0
wendys.com,fast_food,large,2025-07-01,keywords_count,233539.0
wendys.com,fast_food,large,2025-08-01,keywords_count,272606.0
